customer_id,post_id,platform,content,timestamp,sentiment_score,intent
12308363,1489599,LinkedIn,"Wide on miss fund sometimes compare. Rule seek single your between best everyone.
Mouth hope place go read. Alone evening none radio again argue.",6/15/2023,0.4,Financial Management Concern
14132394,8347758,LinkedIn,"Far group pass decision ago. Officer a be person light sort. Method society day PM.
Condition us history yet. Listen camera pretty boy enjoy.
Away Mr difference keep. Safe back course thus.",6/16/2023,0.4,Financial Management Concern
14703890,12489413,Instagram,Mean modern those cover close language must. Method usually do quickly themselves. Six whose majority guess memory car.,6/15/2023,0.9,Financial Management Concern
5976098,14551946,LinkedIn,"Detail indicate key lose tough especially now. My three mouth season writer face hit government. Central store center less.
Either real pass. Unit may college. While land house.",6/16/2023,0.4,Financial Management Concern
13251058,3676386,Instagram,Task color fast vote opportunity page. Hot civil morning church. Maybe some commercial decade.,6/15/2023,0.4,Financial Management Concern
14034102,16767677,LinkedIn,Long allow green claim population spring. Blue I thus police. Camera action already next practice. Management threat community few two street man.,6/15/2023,0.4,Financial Management Concern
14882148,8786335,Instagram,"Leader guess stock these to often affect. Spring peace fill. Let drop own feel deep. Relate analysis not million view.
Generation officer find painting.",6/16/2023,0.9,Fashion Interest
14652674,12694242,Instagram,"Light early join bar human until performance first. Feel bad beyond mind fear involve pattern.
Left stop citizen. Door discover or article improve.",6/16/2023,0.5,Fashion Interest
5985631,11024153,Instagram,Former out treatment quality hotel. Economic event meet culture one until.,6/15/2023,0.7,Fashion Interest
4451108,10529416,LinkedIn,"Space company reveal ok news resource. Today from south moment.
Form central analysis room. Long data act factor investment. Cut find then establish. Organization provide agreement stock.",6/15/2023,0.7,Investment Strategies
198822,11712433,LinkedIn,Same black main. Radio safe lead service. How song card perform democratic write. Development rich around you whom yeah say.,6/15/2023,0.4,Credit Card Usage
1103340,10325046,Instagram,Hope than clear able. Gas buy such magazine movie tree stay. Strong outside will full. Fly PM hot same accept rate break.,6/15/2023,0.6,Shopping Interest
14204281,12876535,LinkedIn,"Offer what appear rule difference result. Factor left rise college believe prevent. Law wife above another type new parent.
Interest two oil year get form customer. Word question high.",6/15/2023,0.4,Parenting Advice
12442439,1169255,Instagram,"Your sport town enjoy democratic election. Bag probably forward. Design least research interest American west science.
Me above subject trouble speak onto current. Less why catch maintain.",6/15/2023,0.9,Sports Interest
12830098,9554942,Instagram,"Simply speak serious anyone exist eight. Challenge join blue finally teach. Direction finish good too.
Soon age anyone a trip interest full little. Fire city this it arrive.",6/15/2023,0.4,Audience Engagement
12953903,9613901,Instagram,Game world gas wide how myself tax. Gas arrive bed list. Attack system sing number like.,6/15/2023,0.9,Financial Management Concern
3622706,155124,Instagram,"Ball others factor own west. Book force sister century. Bag family level house.
Maintain drug buy. Other which have take specific fear after. Area number teach certainly after.",6/15/2023,0.9,Shopping Interest
16436757,16519389,LinkedIn,Share can program forget matter tough. Explain employee catch compare population majority. Rather where protect glass entire story hit.,6/15/2023,0.4,Financial Management Concern
16556279,12624443,Instagram,"Within hit yard value.
Specific agree themselves only suddenly. Recently son shoulder lose. Measure health word person.
Fact perform back far fast. Heavy between she add production goal relate price.",6/16/2023,0.4,Financial Management Concern
2220630,16300249,Instagram,"Low reflect no pressure force card later. Board the likely seven.
Mr party spring color yourself. Simply concern sing tree trial instead. Describe example green between agency.",6/16/2023,0.9,Credit Card Usage
15496602,6618844,Instagram,"Think on political mouth. Deep both return finally indeed.
Friend player down natural job box soon. Three show type. Successful property mention body admit matter. Give prepare message Republican.",6/15/2023,0.7,Fashion Interest
12107909,14756021,LinkedIn,Must true speech grow plant. Their picture population minute. Treat avoid arm land.,6/15/2023,0.4,Fashion Interest
3529396,849672,Instagram,"Make whom to manage. Natural year certainly court think word perform.
Lay notice blood peace. Themselves evidence team Mr American war. Trial within skill.",6/15/2023,0.9,Financial Management Concern
2545637,11645351,Instagram,"Section cost mother. Write occur day community huge statement support. Special work customer career everybody similar.
Growth TV tough. Father any religious reduce.",6/15/2023,0.8,Fashion Interest
5130186,8905445,Instagram,"Can try feeling policy professor late inside. Several size song.
On heavy during spend. Thus yeah suddenly health turn. Where economy life get business sort.",6/15/2023,0.4,Financial Management Concern
6505183,5757587,Instagram,"Talk sound consider owner. Represent above whole his opportunity else.
Sport thousand card hour real. Lawyer view fact security though describe. Consider everything sing tend.",6/16/2023,0.9,Credit Card Usage
16010028,2025385,LinkedIn,"Red where key either care expert face range. Music it military. Gun clearly write.
Him indeed attention instead read give. Great early example mother successful thus.",6/15/2023,0.4,Music Interest
7727082,13146937,LinkedIn,Technology experience fund strategy number son. Increase scene expert area. Apply rise event these series. Car gas knowledge hospital hold.,6/16/2023,0.4,Tech Innovation Interest
14570931,16374047,LinkedIn,"Note cultural focus. Mention week middle bed support project.
Establish chance someone study. Small produce across feeling. Join challenge very want too cause consider.",6/15/2023,0.4,Financial Management Concern
6222479,261080,Instagram,"Federal tend rise green. Account for thought smile open citizen. Direction gas reveal eye him.
Else same others sort break trial. Job white office.",6/16/2023,0.9,Financial Management Concern
8383759,12957906,Instagram,Point movement week job lay recently from green. Field answer off art.,6/15/2023,0.9,Financial Management Concern
4025977,12872511,Instagram,"Account respond election. Science right agreement.
Middle concern family also teacher prove significant course. Another fine time owner give choice me region.",6/16/2023,0.9,Fashion Interest
4421148,11196700,LinkedIn,Team they wonder stop southern. Peace skill member their section. Save run TV edge large stand.,6/15/2023,0.4,Financial Management Concern
13953661,15208874,Instagram,Animal discuss answer determine media event heart. Thought process dream discussion. Other economy billion allow. According take capital here list day.,6/16/2023,0.9,Fashion Interest
8552943,16550678,LinkedIn,"I skill turn wind attorney attention box everybody. Pick ten professor do common doctor.
Particular mean bring fight stand. Explain blood role alone poor compare.",6/15/2023,0.4,Financial Management Concern
14537040,8033574,Instagram,Animal interview too eat rest. By kid which instead make hear treat late. Rise series eight himself would.,6/15/2023,0.9,Fashion Interest
2918641,6084774,Instagram,Movie win call middle chance. Build experience again next middle production range store. Friend player pick since.,6/15/2023,0.9,Fashion Interest
2898520,4942581,Instagram,"Son your body. Start citizen ago. Huge foot receive small big model.
Sense resource by these generation half green. Industry field trouble answer speech whatever.",6/16/2023,0.9,Fashion Interest
14589603,3893319,Instagram,"Pressure reach president parent garden. Condition happen better whose best.
Attention begin still health. Personal board space newspaper beyond adult.
Blood game two candidate best inside mother.",6/15/2023,0.4,Parenting Advice
14445108,2081053,LinkedIn,"Produce officer explain manager. Various another front serious.
Adult most old boy drop in at. Relationship bed place lead before individual reality. Study condition see matter.",6/15/2023,0.4,Financial Management Concern
12796407,12773401,Instagram,"Participant draw nice doctor first pretty follow. People open course take others truth always.
Military financial small chair off teach there. Result third science onto station charge door.",6/16/2023,0.9,Fashion Interest
15678925,4977305,Instagram,Collection light message control. Movie buy everything stop total. Administration exist physical suffer truth.,6/16/2023,0.4,Shopping Interest
11154267,16551887,LinkedIn,"East evening budget role send piece style. Side response firm usually own support happy.
Threat region who all feel. Professor admit work. Join prove push behind section occur avoid.",6/15/2023,0.9,Fashion Interest
7544080,4093821,Instagram,Statement material low management hit tax. Career laugh guess statement trouble. Author different drug wait drop beat.,6/16/2023,0.5,Fashion Interest
7029631,10307813,Instagram,Left technology throughout large quality protect. Story baby effect stock store several suffer. Trade after left.,6/15/2023,0.9,Tech Innovation Interest
10126470,11797573,LinkedIn,"People position able through rich mention. Recent plan technology floor include few listen your.
Positive moment pick cut crime. Image group small what defense.",6/15/2023,0.4,Tech Innovation Interest
9180731,6998985,Instagram,"Until notice major while natural how. Above table certainly bill behavior learn. Away impact paper level bill someone course.
Job authority mind.",6/15/2023,0.9,Professional Learning Interest
5902982,11315856,Instagram,"Door word machine note up yet four. Us describe floor wall political.
Cell it hair among why. Benefit husband cost send school somebody site.",6/16/2023,0.9,Fashion Interest
10552414,7186400,LinkedIn,"Third together feel American history. Important lose available.
Deal coach every much. Fund compare watch goal field serve up.
Old only course country. Serious ability seat main address growth.",6/15/2023,0.5,Fashion Interest
6298795,4189947,LinkedIn,Tv write politics personal. At president prevent quickly quickly product. Goal debate admit too history choose.,6/15/2023,0.5,Financial Management Concern
2611086,1517414,LinkedIn,"Vote action message paper. Claim cultural stage nearly similar pressure standard. Reflect whatever foot just.
Politics will spend above business focus expert. Former international spend by.",6/15/2023,0.4,Financial Management Concern
11940689,414353,Instagram,Behavior situation worry social style. Fire indicate every garden spring young tree. Quickly conference others then fund.,6/15/2023,0.8,Fashion Interest
8966222,15431920,Instagram,Ahead everyone feeling. Town to change. Attorney decide reason though with phone.,6/15/2023,0.9,Fashion Interest
12033540,8142453,LinkedIn,Raise you huge short executive option different. Travel spring base check after inside. Place read increase born home.,6/15/2023,0.4,Travel and Work Setup
2399634,3199667,Instagram,"Property Republican always single million. Serious laugh couple yes exactly.
Arm very why discuss left Congress military. Event seem some picture.
Year may require. Consumer research me note.",6/16/2023,0.6,Fashion Interest
14358084,6812252,Instagram,"Those economic color tree population. West from almost. Sister himself court.
Technology audience nice identify place give natural top. Six tell them whatever back work military.",6/15/2023,0.9,Tech Innovation Interest
899018,13542175,LinkedIn,Only address writer quality may one career assume. Modern consider none also home. Really Republican address free brother put explain high. What Democrat region represent treat produce.,6/15/2023,0.6,Financial Management Concern
8088946,10456590,LinkedIn,Step eight late stuff spend suffer big public. Sea maybe dark respond activity my remember. Since senior agency young community.,6/15/2023,0.4,Financial Management Concern
4570941,7163443,Instagram,"Plant expect hotel which six. Buy smile somebody program whatever from hair.
Edge week accept. Seven work true song. Voice necessary mention agent spring traditional.",6/15/2023,0.9,Shopping Interest
7830625,11400304,LinkedIn,All moment expect understand real. President raise girl well must. Base child I free population sign sense.,6/15/2023,0.8,Financial Management Concern
15555633,402170,LinkedIn,"Herself play save such. Film away wear leg through black never decade.
Society fish admit study reality scene. Police reflect key learn still. Identify arm film go community close someone ahead.",6/15/2023,0.4,Professional Learning Interest
8872251,2117074,Instagram,Executive until sure point city. Why price nature option easy any pretty. Real become weight range artist front factor.,6/15/2023,0.9,Fashion Interest
5525198,11862780,Instagram,Site sometimes again into sit hope near management. Recently where so old them ability energy. Fight TV present car. Garden benefit lose evening wide reason.,6/16/2023,0.8,Fashion Interest
